"Nome";"País";"Posição";"Clube";"Idade";"Salário";"Valor Venda";"Melhor Classificação";"Melhor Classificação Potencial";"ID Único"
"Abdulhamid, Saud";"Arábia Saudita";"Def/Ala D";"Al-Nassr (KSA)";"25";"31.150";"16.243.090";"76.9% (DL)";"78.8% (DL)";"2000042460"
"Abdulla, Abdullah";"Emirados Árabes";"MA DE";"Sharjah";"16";"60";"92.480";"48.0% (Pnt)";"59.4% (Pnt)";"2002152313"
"Abdullahi, Mohammed";"Somália";"MA EC, Av C";"-";"16";"0";"0";"39.6% (PLA)";"52.8% (PLR)";"2002153711"
"Abdursul";"China";"MA DEC";"Shandong";"23";"240";"0";"53.5% (Pnt)";"60.8% (Pnt)";"23450743"
"Abedi";"Brasil";"MA E";"União da Ilha (PE)";"16";"0";"0";"49.4% (Pnt)";"67.4% (Pnt)";"2002129420"
"Abelardinho";"Brasil";"Def EC";"Goiás";"16";"40";"27.940";"56.0% (DL)";"79.7% (DL)";"2002156939"
"Abete, Paulo";"Brasil";"MA C";"Atlético Catarinense";"16";"30";"0";"45.9% (MA)";"72.6% (MA)";"2002160808"
"Abílio";"Brasil";"PL";"Ji-Paraná";"23";"380";"0";"64.2% (PLR)";"68.8% (PLR)";"2000135928"
"Abílio";"Brasil";"Def D, MD";"Botafogo";"16";"40";"0";"49.7% (DL)";"72.8% (DL)";"2002156912"
"Abílio";"Brasil";"Def DC, MD";"Mirassol";"16";"30";"54.460";"49.5% (DC)";"76.7% (DL)";"2002157104"
"Abner";"Brasil";"MA DE, PL";"Mixto (MT)";"29";"100";"0";"62.7% (PLR)";"63.8% (PLR)";"19184111"
"Abner";"Brasil";"MA DC";"Piauí";"29";"150";"0";"64.8% (Pnt)";"65.9% (Pnt)";"19296454"
"Abner";"Brasil / Portugal";"M C";"Vila Chã de Sá";"38";"0";"0";"62.1% (M)";"62.1% (M)";"83141532"
"Abner";"Brasil";"Def/Ala E";"Santos (AP)";"21";"260";"0";"56.7% (DL)";"61.9% (DL)";"2000140430"
"Abner";"Brasil";"MA DE";"Boavista (RJ)";"21";"80";"0";"60.7% (Pnt)";"70.1% (Pnt)";"2000220311"
"Abner";"Brasil";"Def C";"Juventude";"20";"180";"24.020";"62.2% (DC)";"65.3% (DC)";"2000246648"
"Abner Felipe";"Brasil / Espanha";"Def/Ala/M E";"Dunkerque";"28";"1.240";"116.160";"69.4% (Pnt)";"74.4% (Pnt)";"19202686"
"Abner Vinicius";"Brasil";"Def/Ala E";"OL";"24";"15.210";"12.767.800";"76.8% (DL)";"78.5% (DL)";"19386116"
"Abnner";"Brasil";"MA E";"Jacyobá";"23";"240";"0";"57.4% (Pnt)";"61.9% (Pnt)";"19380856"
"Aboubakar, Vincent";"Camarões";"PL";"Sevilla";"32";"44.500";"15.762.530";"79.4% (PLR)";"80.4% (PLR)";"12028932"
"Abraão";"Brasil";"Def/Ala E";"Metropolitano (SC)";"23";"130";"1.370";"64.2% (DL)";"69.6% (DL)";"2000134482"
"Abraão";"Brasil";"MA/Av C";"Alto Acre";"20";"230";"0";"57.3% (PLR)";"77.2% (PLR)";"2000139516"
"Abraão Peixoto";"Brasil / Portugal";"Ala E";"Estrela Bensafrim";"26";"0";"0";"56.8% (Ala)";"58.3% (Ala)";"2000082054"
"Abraham, Tammy";"Inglaterra / Nigéria";"PL";"Besiktas";"27";"95.660";"18.313.490";"83.9% (PLR)";"86.4% (PLR)";"28097985"
"Abram, Luis";"Perú / Itália";"Def C";"Sp.Cristal";"28";"5.900";"563.400";"73.1% (DC)";"74.0% (DC)";"77029495"
"Abrantes, Douglas";"Brasil";"Ala E, MA EC";"Vitória";"16";"40";"0";"52.1% (Pnt)";"75.3% (Pnt)";"2002156799"
"Abrantes, Ismael";"Brasil";"Def/Ala DE";"Cabo Frio";"16";"40";"0";"41.4% (DL)";"64.0% (DL)";"2002162080"
"Abreu";"Brasil";"Def C, MD";"Bandeirante (SP)";"24";"50";"0";"58.5% (MD)";"59.2% (MD)";"19382566"
"Abreu Costa, Gabriela";"Brasil";"MA DE";"4 de Julho";"16";"30";"0";"49.0% (Pnt)";"72.0% (Pnt)";"2002160075"
"Abreu Costa, Tarcísio";"Brasil";"Def EC, MD";"Crato (CE)";"16";"30";"0";"42.3% (DC)";"66.4% (MD)";"2002160345"
"Abreu, Rikelton";"Brasil";"Def C, MD";"Conceição (PE)";"16";"0";"0";"42.0% (MD)";"64.2% (MD)";"2002162088"
"Abu";"Brasil";"Def C, MD";"Tuntum";"26";"50";"0";"40.3% (MD)";"44.5% (MD)";"2002052431"
"Abuda";"Brasil";"MA/Av C";"Tapajós (PA)";"38";"160";"0";"64.6% (PLR)";"64.6% (PLR)";"320763"
"Abuda";"Brasil";"MD";"Vitória (ES)";"35";"740";"0";"65.6% (DL)";"65.6% (DL)";"19162813"
"Abuda";"Brasil";"MD";"São Raimundo (RR)";"31";"90";"0";"55.1% (MD)";"57.0% (MD)";"2000160347"
"Abuda";"Brasil";"GR";"AA Sinop";"16";"120";"0";"48.8% (GR)";"64.7% (GR)";"2002130272"
"Acácio";"Brasil";"Def/Ala E";"Atlético Tubarão";"31";"240";"190";"63.9% (DL)";"65.3% (DL)";"19215962"
"Acácio";"Brasil / Portugal";"MD";"Pombal EC";"16";"30";"0";"44.6% (MD)";"57.2% (MD)";"2002160794"
"Acássio";"Brasil";"MD";"Freipaulistano";"35";"240";"0";"59.9% (M)";"59.9% (M)";"19022187"
"Acássio";"Brasil";"GR";"Parnamirim";"16";"30";"0";"43.8% (GR)";"65.7% (GR)";"2002161521"
"Acerbi, Francesco";"Itália";"Def C";"Inter";"36";"68.400";"6.333.140";"84.3% (DC)";"84.3% (DC)";"43017499"
"Acevedo, Nicolás";"Uruguai";"MD";"Bahia";"25";"4.970";"1.075.590";"73.6% (MD)";"79.5% (MD)";"78094472"
"Acheampong, Frank";"Gana";"Def/Ala E, MA E, PL";"Torino";"31";"43.430";"300.000.000";"67.4% (Pnt)";"68.4% (Pnt)";"13107111"
"Ackstein, Hilton";"Brasil";"MD, MA C";"CA Sorriso";"16";"30";"0";"47.5% (MD)";"72.0% (MD)";"2002162243"
"Aclomar";"Brasil";"GR";"União Harmonia";"16";"30";"0";"36.8% (GR)";"46.1% (GR)";"2002160941"
"Acosta, Joaquín";"Uruguai";"Def/MA E";"Paulista";"16";"30";"0";"53.1% (DL)";"75.8% (Pnt)";"2002159261"
"Acosta, Jorge";"Uruguai";"M DE";"-";"16";"0";"0";"46.0% (Pnt)";"59.1% (Pnt)";"2002130405"
"Acosta, Lautaro";"Argentina";"MA DE";"Lanús";"36";"20.700";"17.920";"70.6% (Pnt)";"70.6% (Pnt)";"14001291"
"Acosta, Luciano";"Argentina / E.U.A.";"MA C";"Fluminense";"30";"11.410";"6.190.830";"76.9% (MA)";"79.4% (MA)";"14031418"
"Acosta, Néicer";"Equador";"MA E, PL";"São Paulo Crystal";"21";"800";"3.780";"64.5% (Pnt)";"70.7% (Pnt)";"86066856"
"Acquah, Benjamin";"Gana";"MA DEC";"Portimonense";"23";"190";"297.560";"68.8% (Pnt)";"73.1% (Pnt)";"2000077472"
"Acquah, Inusah";"Gana";"MA/Av C";"Medeama SC";"16";"0";"7.340";"52.0% (PLR)";"59.4% (PLR)";"2002153653"
"Acuña, Marcos";"Argentina";"Def/Ala E, MD, MA E";"River Plate";"33";"20.560";"300.000.000";"79.6% (Pnt)";"79.6% (Pnt)";"14044037"
"Adagsmar";"Brasil";"MD";"Paduano";"16";"30";"0";"49.7% (MD)";"68.9% (MD)";"2002161637"
"Adailson";"Brasil";"PL";"São Luiz";"28";"50";"0";"64.5% (PLR)";"67.1% (PLR)";"2000043950"
"Adailson";"Brasil";"GR";"Santarritense";"16";"30";"0";"42.4% (GR)";"74.1% (GR)";"2002161104"
"Adaílton";"Brasil / Japão";"MA DE, PL";"FC Tokyo";"33";"9.580";"18.160";"68.5% (Pnt)";"68.5% (Pnt)";"2002051758"
"Adaílton";"Brasil / Portugal";"GR";"Hercílio Luz";"16";"510";"0";"58.2% (GR)";"60.1% (GR)";"2002129639"
"Adair";"Brasil";"Ala/MA D";"Esporte";"16";"60";"0";"52.0% (Pnt)";"54.6% (Pnt)";"2002129904"
"Adalberto";"Brasil";"Def C";"Juazeirense";"37";"1.000";"3.370";"67.4% (DC)";"67.4% (DC)";"19033065"
"Adalberto";"Brasil / Portugal";"Def DC, MD";"Capital (TO)";"16";"30";"0";"40.2% (DL)";"54.8% (DL)";"2002158919"
"Adalgisio Pitbull";"Brasil";"MA DE, PL";"Baraúnas";"35";"410";"0";"60.2% (PLR)";"60.2% (PLR)";"19290232"
"Adami Martins, Adam";"Brasil / Itália";"M C";"Folgore";"32";"0";"0";"61.4% (M)";"62.1% (M)";"60031275"
"Adamo, Valentín";"Uruguai";"PL";"Boston River";"22";"50";"1.380";"62.9% (PLR)";"65.5% (PLR)";"2000060967"
"Adams, Kasim";"Gana";"Def C";"Schalke 04";"29";"20.550";"858.010";"74.5% (DC)";"76.6% (DC)";"67214574"
"Adams, Tyler";"E.U.A.";"Def/Ala D, MD";"Bournemouth";"25";"77.560";"58.704.060";"81.3% (DL)";"83.8% (DL)";"72044918"
"Adán, Antonio";"Espanha";"GR";"Lazio";"37";"37.150";"1.432.640";"80.5% (GR)";"80.5% (GR)";"7458290"
"Adãozinho";"Brasil";"MD";"Patriotas (PR)";"32";"130";"0";"62.3% (M)";"63.0% (M)";"19167492"
"Adauto";"Brasil";"MA C";"Carajás";"30";"310";"4.530";"61.1% (MA)";"62.7% (MA)";"19338154"
"Adauto";"Brasil";"Def C, MD";"Botafogo";"16";"30";"0";"51.6% (MD)";"58.1% (MD)";"2002156914"
"Adauto";"Brasil";"GR";"São Caetano";"16";"30";"0";"46.5% (GR)";"68.0% (GR)";"2002159022"
"Adauto";"Brasil";"Def DC";"ITZ Sport";"16";"30";"0";"40.3% (DC)";"50.6% (DC)";"2002160828"
"Adavílson";"Brasil";"GR";"Andradina";"16";"30";"0";"48.5% (GR)";"74.8% (GR)";"2002160838"
"Addi";"Brasil";"GR";"Democrata GV";"19";"50";"0";"58.0% (GR)";"66.3% (GR)";"2000221594"
"Adé, Ricardo";"Haiti";"Def C";"Liga de Quito";"34";"4.840";"38.620";"74.2% (DC)";"74.2% (DC)";"82050160"
"Adeíldo";"Brasil";"MD, M EC";"Anapolina";"16";"30";"0";"51.2% (M)";"66.3% (M)";"2002159372"
"Adeilson";"Brasil";"MD";"Ponte Preta";"19";"50";"0";"51.0% (M)";"64.3% (M)";"2000121621"
"Adeilson";"Brasil / Espanha";"MA E";"Fortaleza";"16";"30";"0";"44.4% (Pnt)";"53.0% (Pnt)";"2002157005"
"Ademar";"Brasil";"MA C";"Duquecaxiense";"16";"30";"0";"44.3% (M)";"63.9% (M)";"2002161218"
"Ademilson";"Brasil";"MA D, PL";"Internacional";"16";"40";"147.840";"51.3% (Pnt)";"75.5% (Pnt)";"2002156687"
"Ademilson";"Brasil";"Def EC, MD";"Confiança (SE)";"16";"30";"0";"46.9% (DL)";"54.4% (DL)";"2002157879"
"Ademílson";"Brasil";"PL";"Operário (PR)";"30";"7.510";"1.457.650";"76.3% (PLR)";"80.8% (PLR)";"19161405"
"Ademir";"Brasil";"Def/Ala D";"União Rondonópolis";"39";"90";"0";"60.4% (DL)";"60.4% (DL)";"2114063"
"Ademir";"Brasil";"MA D";"Bahia";"29";"14.820";"324.560";"73.5% (Pnt)";"78.0% (Pnt)";"19409404"
"Ademir";"Brasil / Alemanha";"MA DE";"Canoas FC";"16";"120";"0";"45.0% (Pnt)";"59.6% (Pnt)";"2002130230"
"Adenilson";"Brasil";"MD";"Brasil de Farroupilha";"30";"450";"600";"63.5% (MD)";"66.9% (MD)";"19226545"
"Adenilson";"Brasil";"MA C";"São Carlos";"23";"50";"0";"65.0% (MA)";"66.0% (MA)";"2000068960"
"Adenilson";"Brasil / Portugal";"Def/Ala D";"Bangu";"16";"30";"0";"53.3% (DL)";"65.2% (DL)";"2002159632"
"Adenir";"Brasil";"MA DC";"Concórdia";"16";"40";"0";"47.9% (Pnt)";"70.9% (Pnt)";"2002158496"
"Aderaldo";"Brasil";"MD";"Ponta Grossa";"16";"120";"0";"51.5% (MD)";"68.8% (MD)";"2002129382"
"Aderaldo";"Brasil";"Def/Ala/M E";"1º de Maio";"16";"30";"0";"43.0% (DL)";"57.4% (DL)";"2002161030"
"Aderlan";"Brasil";"Def/Ala/M D";"Sport";"34";"3.480";"237.880";"73.0% (DL)";"73.0% (DL)";"19095247"
"Aderlan";"Brasil";"Def C";"Desportivo Aliança";"25";"90";"0";"56.9% (DC)";"65.0% (DC)";"19350601"
"Aderllan Santos";"Brasil";"Def C";"Dibba Al-Fujairah";"35";"3.780";"258.630";"72.7% (DC)";"72.7% (DC)";"19076427"
"Aderson";"Brasil";"Def/Ala D";"Centro Oeste";"16";"30";"0";"37.5% (DL)";"51.8% (DL)";"2002162201"
"Adesope, Salaudeen";"Nigéria";"Def EC";"Kwara Utd";"16";"0";"54.100";"52.6% (DC)";"64.2% (DC)";"2002152588"
"Adeyemi, Karim";"Alemanha / Nigéria";"MA DE, PL";"Borussia Dortmund";"22";"99.200";"300.000.000";"77.4% (PLR)";"78.9% (PLR)";"16279486"
"Adiel";"Brasil";"PL";"Aruko";"22";"60";"0";"60.0% (PLR)";"61.7% (PLR)";"19405076"
"Adilço";"Brasil";"MA DE, PL";"Atlético Mineiro";"16";"50";"288.380";"53.5% (PLR)";"72.0% (PLR)";"2002156815"
"Adílio Gomes";"Brasil";"MA DE, PL";"Capital";"26";"70";"0";"62.0% (Pnt)";"62.0% (Pnt)";"19403106"
"Adilio Santos";"Brasil";"MA DE";"Jenis";"31";"9.780";"7.360";"65.9% (Pnt)";"67.5% (Pnt)";"83168648"
"Adilson";"Brasil";"GR";"Primavera (MT)";"34";"50";"0";"64.6% (GR)";"64.6% (GR)";"19320541"
"Adilson";"Brasil";"Def C";"Laranja Mecânica";"20";"50";"0";"58.3% (DC)";"63.6% (DC)";"2000247354"
"Adilson";"Brasil";"MA DC";"ASA";"16";"40";"0";"49.7% (MA)";"69.9% (MA)";"2002157821"
"Adilson";"Brasil";"Def C, MD";"Hercílio Luz";"16";"40";"0";"47.3% (DC)";"51.8% (DC)";"2002158218"
"Adilson";"Brasil";"MA C";"Americano";"16";"30";"0";"54.0% (MA)";"71.7% (MA)";"2002159734"
"Adilson";"Brasil / Espanha";"MA/Av C";"Vilhena";"16";"30";"0";"49.8% (PLR)";"64.3% (PLR)";"2002159867"
"Adílson";"Brasil";"M C";"-";"39";"0";"0";"62.3% (M)";"62.3% (M)";"8833647"
"Adílson";"Brasil";"MA DE, PL";"Juazeirense";"16";"40";"0";"44.9% (Pnt)";"68.6% (Pnt)";"2002158419"
"Adílson";"Brasil";"MD";"CENE";"16";"30";"0";"46.5% (M)";"71.4% (M)";"2002159294"
"Adilson Bahia";"Brasil";"MA EC, Av C";"Manaus";"32";"460";"870";"60.5% (Pnt)";"60.5% (Pnt)";"83148721"
"Adílson Júnior";"Brasil";"GR";"Atlético Patrocinense";"36";"530";"0";"67.6% (GR)";"67.6% (GR)";"19036691"
"Adimar";"Brasil";"MD";"Sena Madureira";"16";"0";"0";"39.1% (M)";"51.6% (M)";"2002162236"
"Adimilson";"Brasil";"Def DC";"Torre de Moncorvo";"24";"0";"0";"58.6% (DC)";"64.8% (DC)";"2000138384"
"Adir";"Brasil";"MA D, PL";"Ponta Grossa";"16";"30";"0";"41.8% (PLR)";"65.5% (PLR)";"2002162176"
"Admilton";"Brasil";"Def C";"Paduano";"35";"280";"0";"61.4% (DC)";"61.4% (DC)";"19100372"
"Adne Fernandes";"Brasil";"GR";"Barra Mansa";"24";"50";"0";"68.9% (GR)";"68.9% (GR)";"19371669"
"Adnilton";"Brasil";"GR";"Santa Maria (DF)";"23";"210";"0";"55.3% (GR)";"59.7% (GR)";"2000249440"
"Adolfo";"Brasil";"GR";"Pedra Branca";"16";"120";"0";"50.3% (GR)";"75.5% (GR)";"2002129431"
"Adrian";"Brasil";"MD";"Rhône Sud FC";"27";"0";"0";"56.8% (DL)";"59.1% (DL)";"19340206"
"Adrian";"Brasil";"MA EC";"CRAC";"24";"390";"0";"62.7% (Pnt)";"68.9% (Pnt)";"19390599"
"Adrian";"Brasil";"MA DE";"Pelotas";"27";"280";"0";"60.4% (Pnt)";"64.6% (Pnt)";"2002052164"
"Adrian ";"Brasil";"GR";"Bahia de Feira";"28";"50";"0";"59.1% (GR)";"63.4% (GR)";"2002052615"
"Adrian Sander";"Brasil";"Def C, MD";"Angra Audax";"23";"100";"1.620";"58.9% (DC)";"63.8% (DC)";"89068840"
"Adrianinho";"Brasil";"GR";"Mamoré";"16";"30";"0";"48.1% (GR)";"65.1% (GR)";"2002160485"
"Adriano";"Brasil";"MD";"Santa Clara";"25";"1.290";"232.450";"71.8% (M)";"77.7% (M)";"19380453"
"Adriano";"Brasil";"Def C";"Quixadá";"32";"180";"870";"58.7% (DC)";"59.3% (DC)";"19380578"
"Adriano";"Brasil";"GR";"Sport";"21";"50";"1.230";"68.6% (GR)";"75.2% (GR)";"19411236"
"Adriano";"Brasil / Portugal";"MA EC";"Lixa";"25";"0";"0";"63.8% (Pnt)";"69.1% (Pnt)";"83315368"
"Adriano";"Brasil";"MA C";"Uni Souza";"38";"230";"0";"63.4% (MA)";"63.4% (MA)";"91107511"
"Adriano";"Brasil";"PL";"Catanduva";"31";"50";"0";"66.4% (PLR)";"66.4% (PLR)";"2000134776"
"Adriano";"Brasil";"MA D, PL";"Ceará";"19";"50";"0";"52.2% (PLR)";"59.5% (PLR)";"2000202590"
"Adriano";"Brasil";"MA DE";"Tocantinópolis";"20";"60";"0";"58.1% (Pnt)";"68.2% (Pnt)";"2000224429"
"Adriano";"Brasil / Itália";"Def/Ala D";"Villa Real (MG)";"16";"60";"0";"50.7% (DL)";"51.7% (DL)";"2002129563"
"Adriano";"Brasil";"MA D";"EC Primavera (MT)";"16";"50";"0";"49.7% (Pnt)";"60.1% (Pnt)";"2002130232"
"Adriano";"Brasil";"MD";"Jacutinga";"16";"50";"0";"45.7% (M)";"49.8% (M)";"2002130748"
"Adriano";"Brasil";"Def EC";"Ponte Preta";"16";"40";"0";"45.2% (DC)";"66.2% (DC)";"2002157073"
"Adriano";"Brasil";"GR";"Ferroviária (SP)";"16";"40";"0";"48.9% (GR)";"76.3% (GR)";"2002157273"
"Adriano";"Brasil";"Def/Ala/M D";"Brusque";"16";"40";"0";"49.3% (DL)";"68.5% (DL)";"2002157854"
"Adriano";"Brasil";"MA EC";"Santa Cruz de Natal";"16";"30";"0";"39.7% (Pnt)";"55.3% (Pnt)";"2002158276"
"Adriano";"Brasil / Portugal";"MA D, PL";"São José (SP)";"16";"30";"0";"48.0% (PLR)";"57.7% (PLR)";"2002158290"
"Adriano";"Brasil";"M DEC";"Serra Branca";"16";"30";"0";"47.1% (M)";"70.7% (M)";"2002159047"
"Adriano";"Brasil";"MA EC, Av C";"Tuna Luso";"16";"40";"0";"42.9% (PLR)";"66.3% (PLR)";"2002159350"
"Adriano";"Brasil / Espanha";"GR";"Palmeira de Goianinha";"15";"40";"0";"43.5% (GR)";"68.7% (GR)";"2002160393"
"Adriano";"Brasil";"MA C";"Tiradentes (PI)";"16";"40";"0";"46.0% (MA)";"71.4% (MA)";"2002160628"
"Adriano";"Brasil";"Def C, MD";"Soledade";"16";"30";"0";"40.2% (M)";"61.8% (M)";"2002160763"
"Adriano";"Brasil";"Def C, MD";"Assisense";"16";"30";"0";"40.9% (DC)";"62.9% (DC)";"2002161121"
"Adriano";"Brasil / Líbano";"PL";"Força Jovem (TO)";"15";"40";"0";"47.2% (PLR)";"58.4% (PLR)";"2002161365"
"Adriano";"Brasil";"Def C, M C";"Confiança de Sapé";"16";"30";"0";"43.2% (DC)";"65.0% (DC)";"2002161598"
"Adriano Canutama";"Brasil";"Def/Ala/MA D";"Villa Nova (MG)";"26";"220";"0";"57.6% (DL)";"60.2% (DL)";"2002052787"
"Adriano Guerreiro";"Brasil / Itália";"Def/M D";"Amazonas";"16";"30";"0";"49.0% (DL)";"73.7% (DL)";"2002158642"
"Adriano Junior";"Brasil";"MA E";"Porto Velho";"22";"410";"0";"63.4% (Pnt)";"71.1% (Pnt)";"2000036432"
"Adriano Júnior";"Brasil";"Def D, MD, M DC";"Manaus";"25";"220";"210";"61.3% (DL)";"68.6% (DL)";"19362775"
"Adriano Klein";"Brasil";"MA C";"Aimoré";"24";"150";"310";"66.6% (MA)";"70.9% (MA)";"2000167366"
"Adriano Maldinni";"Brasil";"MA DE, PL";"SKA Brasil";"16";"30";"0";"44.9% (PLR)";"70.7% (PLR)";"2002159082"
"Adriano Mina";"Brasil";"Def C";"Juventude";"27";"330";"1.000";"64.2% (DC)";"69.5% (DC)";"19326607"
"Adriano Napão";"Brasil";"PL";"Santa Cruz (RS)";"24";"590";"2.400";"66.1% (PLR)";"71.1% (PLR)";"2000118257"
"Adriano Oliveira";"Brasil / Portugal";"MD, MA C";"Marítimo Olhanense";"26";"0";"0";"59.7% (M)";"63.2% (M)";"83224602"
"Adriano Peixinho";"Brasil";"MA C";"Operário VG";"26";"320";"0";"57.9% (MA)";"59.7% (MA)";"2002052682"
"Adriano Pereira";"Brasil / Portugal";"MA EC";"Vale de Madeiros";"37";"0";"0";"64.1% (Pnt)";"64.1% (Pnt)";"19148353"
"Adriano Silva";"Brasil";"MA C";"Tondela";"33";"1.680";"0";"62.5% (MA)";"62.5% (MA)";"83300089"
"Adriel";"Brasil";"Def/Ala E, MD";"Iporá";"33";"70";"0";"61.8% (DL)";"61.8% (DL)";"19138012"
"Adriel";"Brasil";"Def C, MD";"São Bernardo";"27";"1.300";"5.200";"61.7% (MD)";"64.1% (MD)";"19297054"
"Adriel";"Brasil";"Def C";"Inter de Limeira";"23";"50";"0";"61.2% (DC)";"65.6% (DC)";"19380959"
"Adriel";"Brasil";"GR";"Athletic Club (MG)";"23";"1.000";"192.770";"72.0% (GR)";"75.3% (GR)";"19381250"
"Adriel";"Brasil";"Def/Ala D";"Iporá";"26";"70";"0";"61.7% (DL)";"63.2% (DL)";"83303840"
"Adriel";"Brasil / Portugal";"MD";"Carqueijo";"25";"0";"0";"59.5% (MD)";"62.3% (MD)";"2000013022"
"Adriel";"Brasil";"PL";"Juazeirense";"21";"80";"0";"60.9% (PLR)";"67.0% (PLR)";"2000157401"
"Adriel";"Brasil";"Def DC, MD";"Portuguesa";"16";"40";"3.560";"53.5% (DL)";"77.4% (DL)";"2002159091"
